Outlier,Imputer,Scaler,RMSE,MSE,MAE,R2,SampleCount,FoldCount,Dataset
log,drop,standard,10.785266204273384,161.9168733927416,9.053483899999998,-0.16670012398661943,17,5,Titanic
log,drop,minmax,10.785266204273384,161.9168733927416,9.053483899999998,-0.16670012398661943,17,5,Titanic
log,drop,robust,10.785266204273384,161.9168733927416,9.053483899999998,-0.16670012398661943,17,5,Titanic
log,drop,quantile,13.599680210826184,222.73911479287352,11.034409000000004,-0.925439695273457,17,5,Titanic
log,drop,unit_vector,12.527272016407528,230.83558266550753,10.554651749999993,-0.5541788411170561,17,5,Titanic
boxcox,mean,none,12.210410209154261,164.67592745869678,9.772754099999997,0.3456650759834636,20,5,Titanic
boxcox,mean,standard,12.210410209154261,164.67592745869678,9.772754099999997,0.3456650759834636,20,5,Titanic
boxcox,mean,minmax,12.210410209154261,164.67592745869678,9.772754099999997,0.3456650759834636,20,5,Titanic
boxcox,mean,robust,12.210410209154261,164.67592745869678,9.772754099999997,0.3456650759834636,20,5,Titanic
boxcox,mean,quantile,11.72214925749876,155.01045794393121,9.40861945,0.3895157788780144,20,5,Titanic
boxcox,mean,unit_vector,12.04910455641297,171.62292052110382,9.489088950000003,0.43005547790565435,20,5,Titanic
boxcox,median,none,12.232604475304047,164.99409123239622,9.787412649999997,0.3405937690953534,20,5,Titanic
boxcox,median,standard,12.232604475304047,164.99409123239622,9.787412649999997,0.3405937690953534,20,5,Titanic
boxcox,median,minmax,12.24136576173392,165.13446357556182,9.793279349999999,0.33908956793384204,20,5,Titanic
boxcox,median,robust,12.232604475304047,164.99409123239622,9.787412649999997,0.3405937690953534,20,5,Titanic
boxcox,median,quantile,11.738856256092598,154.81945935464674,9.41278205,0.38597376487199603,20,5,Titanic
boxcox,median,unit_vector,12.12045379914467,172.96692219826778,9.541536850000004,0.42136361650593324,20,5,Titanic
boxcox,knn,none,12.108766835334993,163.94373011737844,9.617360599999998,0.35878047183140954,20,5,Titanic
boxcox,knn,standard,12.108766835334993,163.94373011737844,9.617360599999998,0.35878047183140954,20,5,Titanic
boxcox,knn,minmax,12.108766835334993,163.94373011737844,9.617360599999998,0.35878047183140954,20,5,Titanic
boxcox,knn,robust,12.108766835334993,163.94373011737844,9.617360599999998,0.35878047183140954,20,5,Titanic
boxcox,knn,quantile,11.730628777509612,156.41246619010036,9.3285907,0.3886492337611761,20,5,Titanic
