Outlier,Imputer,Scaler,Accuracy,Precision,Recall,F1,SampleCount,FoldCount,Dataset
yeojohnson,most_frequent,minmax,0.7901261691042623,0.7896827122348261,0.7901261691042623,0.7885097765963754,891,5,Titanic
yeojohnson,most_frequent,robust,0.7934906785512522,0.7925800133848633,0.7934906785512522,0.7918314959307076,891,5,Titanic
yeojohnson,most_frequent,quantile,0.7912372104701525,0.7907012485392451,0.7912372104701525,0.7901833316902893,891,5,Titanic
yeojohnson,most_frequent,unit_vector,0.7890025735986442,0.7883318209753316,0.7890025735986442,0.7872142346295522,891,5,Titanic
yeojohnson,constant_zero,none,0.7766618542464376,0.7759604991126663,0.7766618542464376,0.7745991192968406,891,5,Titanic
yeojohnson,constant_zero,standard,0.7822672776348,0.7813186536397503,0.7822672776348,0.7804707086698434,891,5,Titanic
yeojohnson,constant_zero,minmax,0.7845081915761722,0.7843007459782962,0.7845081915761722,0.7828656646311623,891,5,Titanic
yeojohnson,constant_zero,robust,0.780020086623564,0.7790993456544473,0.780020086623564,0.7781235379614354,891,5,Titanic
yeojohnson,constant_zero,quantile,0.7744146632352018,0.7759334931284857,0.7744146632352018,0.7743195695745817,891,5,Titanic
yeojohnson,constant_zero,unit_vector,0.7811436821291821,0.7811203107954242,0.7811436821291821,0.7793961994812822,891,5,Titanic
yeojohnson,iterative,none,0.7934844014813885,0.792396294029263,0.7934844014813885,0.7918557857558511,891,5,Titanic
yeojohnson,iterative,standard,0.7912434875400163,0.7901204160844275,0.7912434875400163,0.7896911729780017,891,5,Titanic
yeojohnson,iterative,minmax,0.7901261691042621,0.7892841521179494,0.7901261691042621,0.7889130161044188,891,5,Titanic
yeojohnson,iterative,robust,0.7901261691042621,0.7888901841591803,0.7901261691042621,0.7885250005056414,891,5,Titanic
yeojohnson,iterative,quantile,0.7912434875400163,0.7900114110629434,0.7912434875400163,0.7899844805597898,891,5,Titanic
yeojohnson,iterative,unit_vector,0.7889962965287804,0.7883860161398158,0.7889962965287804,0.787165166168345,891,5,Titanic
yeojohnson,drop,none,0.7906530089628682,0.7911052064853255,0.7906530089628682,0.7887427219201402,712,5,Titanic
yeojohnson,drop,standard,0.7962572638628977,0.7966121020102609,0.7962572638628977,0.7946935299643055,712,5,Titanic
yeojohnson,drop,minmax,0.7850192061459667,0.7858952190053731,0.7850192061459667,0.783511543737134,712,5,Titanic
yeojohnson,drop,robust,0.7920516103614694,0.7923596781048898,0.7920516103614694,0.7902607736373095,712,5,Titanic
yeojohnson,drop,quantile,0.7934403624544469,0.7933268095197504,0.7934403624544469,0.7920336847876919,712,5,Titanic
yeojohnson,drop,unit_vector,0.7766078991431105,0.7770384476003808,0.7766078991431105,0.7739895998264193,712,5,Titanic
